Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1K,HT-2K,T-min,As,Af,Ms,Mf,MsK,HT-1,HT-2,T,th
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,823,180,98,136,102,59,375,1050,550,3,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,2880,98,137,103,60,376,1050,600,48,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,113,159,106,83,379,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,102,150,110,75,383,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,300,124,161,108,64,381,1050,600,5,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,180,93,154,108,49,381,1050,600,3,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,113,155,112,95,385,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,2880,120,159,114,90,387,1050,600,48,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,127,182,116,87,389,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,127,174,113,83,386,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,923,180,139,158,118,101,391,1050,650,3,
45.3,34.7,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,1173,273,0,120,229,122,63,395,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,2880,101,176,124,66,397,1050,600,48,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,823,180,113,181,131,66,404,1050,550,3,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,180,99,182,144,80,417,1050,600,3,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,131,214,127,85,400,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,823,180,118,176,138,86,411,1050,550,3,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,135,228,142,86,415,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,4320,134,173,131,93,404,1050,600,72,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1173,273,0,145,325,160,96,433,900,0,0,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,2880,130,250,172,96,445,1050,600,48,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,823,180,149,241,177,88,450,1050,550,3,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,873,4320,149,196,143,109,416,1050,600,72,
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1323,923,180,153,196,153,119,426,1050,650,3,
