Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1,HT-2,T,As,Af,Ms,Mf
45.3,34.7,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,900,0,0,63,106,50,35
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,700,1,80,105,51,43
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,69,84,52,34
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,400,3,101,163,56,27
45.3,34.7,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,900,0,0,79,149,58,28
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,41,84,60,32
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,64,102,60,30
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,52,106,60,17
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,83,101,61,27
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,66,113,66,34
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,88,119,66,30
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,5,91,133,66,21
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,87,155,71,36
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,77,115,75,36
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,3,79,110,76,31
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,79,120,77,41
45.3,34.7,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,900,0,0,103,171,79,47
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,85,114,81,34
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,3,89,111,84,36
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,75,125,87,50
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,82,125,87,47
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,3,110,142,89,64
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,700,3,114,141,88,60
45.3,34.7,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,900,0,0,119,177,90,54
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,89,134,90,42
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,3,84,130,94,32
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,600,0,0,110,160,95,63
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,113,131,100,90
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,94,134,100,58
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,98,136,102,59
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,98,137,103,60
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,113,159,106,83
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,102,150,110,75
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,5,124,161,108,64
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,3,93,154,108,49
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,113,155,112,95
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,120,159,114,90
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,127,182,116,87
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,127,174,113,83
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,650,3,139,158,118,101
45.3,34.7,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,900,0,0,120,229,122,63
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,101,176,124,66
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,113,181,131,66
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,3,99,182,144,80
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,131,214,127,85
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,550,3,118,176,138,86
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,135,228,142,86
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,72,134,173,131,93
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,900,0,0,145,325,160,96
45.3,29.7,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,1050,600,48,130,250,172,96
